review text,rating,vader_label,distilbert_label,distilbert_confidence,rating_based_truth
"Our West India heavy machinery fabricator operation sourced 361 MT of Billets and Blooms (Semi-Finished) from Raigarh. The pricing was attractive for semi-finished material, and the quality consistency reduced our processing losses. Your commercial invoicing itemized GST clearly. Payment terms allowed us adequate time for working capital management. Freight charges from Raigarh to our location were reasonable and included in the initial quotation. No debit note disputes arose during the supply cycle.",4,negative,positive,0.9421854615211487,positive
"Received 153 MT of Beams and Columns (PF Sections) from Angul for our South India highway and building construction projects. The beam geometry and tolerances align with IS:2062 benchmarks, and grade certificates confirm expected mechanical properties through third-party lab validation. Nonetheless, web thickness measurements on isolated sections showed marginal deviation toward the lower tolerance boundary, flagged during random inspection. No structural concern emerged, yet such boundary-condition readings necessitate heightened vigilance during design-integration workflows.",3,negative,negative,0.994327962398529,neutral
"Our chassis fabrication unit in Central India processed 319 MT of Beams and Columns (PF Sections) from Angul plant without welding defects. The material exhibited predictable yield characteristics and superior surface finish, minimizing grinding operations. Dimensional accuracy of flange and web thickness enabled tight tolerance assembly. We plan to increase volumes given this reliable performance.",4,positive,positive,0.9962855577468872,positive
"Round Bars procured for our Central India infrastructure and power plant projects have delivered outstanding results across multiple applications. The 704 MT batch from Patratu maintains excellent tensile strength consistency, superior yield strength properties, and reliable ductility for demanding structural and mechanical applications. Weldability characteristics have supported efficient site fabrication and assembly protocols.",4,positive,positive,0.999678373336792,positive
"Our dealership operations benefit tremendously from the pricing JSL offers on Beams and Columns sections. The 199 MT batch from Raigarh arrived with complete documentation, and the commercial terms allow us adequate margin while remaining competitive in West India. Your accounts team's efficiency in processing payment receipts and issuing credit notes is commendable. We look forward to expanding this partnership.",4,positive,positive,0.9997579455375671,positive
"We received 24 MT Jindal Panther TMT Rebars from Angul for our South India railway signalling project. The small quantity was appropriately handled, and transit damage was minimal. Transit occurred within 7 days. The constraint here is that the advance intimation arrived only one day prior, limiting our site logistics planning. For railway applications, precision on delivery timing is critical to project workflows, so earlier notification windows would be appreciated.",3,negative,negative,0.9953585267066956,neutral
"Our stockist operation in South India manages approximately 981 MT of Jindal Panther Rebars sourced from Barbil plant across multiple retail cycles. Consistency in product quality has been exceptional—our downstream construction clients rarely return batches, reflecting strong brand trust. Our key account manager understands our demand forecasting cycles and coordinates inventory replenishment strategically. Complaint handling is infrequent, but when logistics or specification clarifications arise, the regional sales office resolves them within 48 hours systematically. This reliability underpins our market positioning.",4,positive,positive,0.9961554408073425,positive
"Beams and columns (19 MT) supplied from Raigarh for our North India building project show unacceptable surface finish and dimensional deviation. The flanges display uneven thickness with variation exceeding 2mm in random locations. The web straightness also shows 8mm bowing over 4-metre spans. While structural calculations might technically accommodate this, the material quality suggests possible manufacturing defects that raise durability concerns for long-term building performance.",2,negative,negative,0.9989758729934692,negative
"The 737 MT Jindal Panther TMT rebar order for our North India building projects demonstrates the product's suitability for high-rise construction loads. Each coil exhibited excellent ductility during bend tests, confirming cold-working properties essential for seismic-zone compliance. Delivery from Patratu was punctual, allowing site stocking without demurrage concerns.",4,positive,positive,0.9887118339538574,positive
"Our real estate development project in East India required 238 MT Beams and Columns (PF Sections) from Barbil plant for commercial tower construction. The delivered material showed paint coating irregularities and minor surface oxidation. The key account manager acknowledged our concern but follow-up communication has stalled. Despite multiple escalation requests to the regional sales office, no technical service engineer has visited our site. The complaint handling response time has caused a two-week construction delay. We require immediate resolution to maintain project schedules.",2,negative,negative,0.9992275238037109,negative
